urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:parameter:x-istsos:1.0:river:water:discharge:ave,qualityIndex
2007-01-02T00:00:00+01:00,0.517706,210
2007-01-03T00:00:00+01:00,0.508249,210
2007-01-04T00:00:00+01:00,0.466232,210
2007-01-05T00:00:00+01:00,0.456502,210
2007-01-06T00:00:00+01:00,0.441800,210
2007-01-07T00:00:00+01:00,0.433471,210
2007-01-08T00:00:00+01:00,0.415175,210
2007-01-09T00:00:00+01:00,0.412193,210
2007-01-10T00:00:00+01:00,0.398600,210
2007-01-11T00:00:00+01:00,0.395030,210
2007-01-12T00:00:00+01:00,0.388475,210
2007-01-13T00:00:00+01:00,0.374400,210
2007-01-14T00:00:00+01:00,0.373479,210
2007-01-15T00:00:00+01:00,0.367600,210
2007-01-16T00:00:00+01:00,0.361199,210
2007-01-17T00:00:00+01:00,0.343435,210
2007-01-18T00:00:00+01:00,0.334500,210
2007-01-19T00:00:00+01:00,0.330991,210
2007-01-20T00:00:00+01:00,0.335913,210
2007-01-21T00:00:00+01:00,0.364200,210
2007-01-22T00:00:00+01:00,0.356125,210
2007-01-23T00:00:00+01:00,0.377176,210
2007-01-24T00:00:00+01:00,0.907388,210
2007-01-25T00:00:00+01:00,0.802329,210
2007-01-26T00:00:00+01:00,0.537956,210
2007-01-27T00:00:00+01:00,0.504369,210
2007-01-28T00:00:00+01:00,0.441651,210
2007-01-29T00:00:00+01:00,0.442519,210
2007-01-30T00:00:00+01:00,0.426835,210
2007-01-31T00:00:00+01:00,0.417425,210
2007-02-01T00:00:00+01:00,0.415682,210
2007-02-02T00:00:00+01:00,0.412108,210
2007-02-03T00:00:00+01:00,0.417825,210
2007-02-04T00:00:00+01:00,0.418050,210
2007-02-05T00:00:00+01:00,0.405823,210
2007-02-06T00:00:00+01:00,0.399124,210
2007-02-07T00:00:00+01:00,0.385873,210
2007-02-08T00:00:00+01:00,0.383795,210
2007-02-09T00:00:00+01:00,0.374400,210
2007-02-10T00:00:00+01:00,0.366281,210
2007-02-11T00:00:00+01:00,0.354640,210
2007-02-12T00:00:00+01:00,0.350800,210
2007-02-13T00:00:00+01:00,0.349622,210
2007-02-14T00:00:00+01:00,0.341206,210
2007-02-15T00:00:00+01:00,0.334468,210
2007-02-16T00:00:00+01:00,0.318915,210
2007-02-17T00:00:00+01:00,0.308483,210
2007-02-18T00:00:00+01:00,0.302800,210
2007-02-19T00:00:00+01:00,0.302800,210
2007-02-20T00:00:00+01:00,0.289626,210
2007-02-21T00:00:00+01:00,0.284228,210
2007-02-22T00:00:00+01:00,0.288319,210
2007-02-23T00:00:00+01:00,0.284292,210
2007-02-24T00:00:00+01:00,0.284500,210
2007-02-25T00:00:00+01:00,0.292984,210
2007-02-26T00:00:00+01:00,0.371603,210
2007-02-27T00:00:00+01:00,0.353787,210
2007-02-28T00:00:00+01:00,0.313622,210
2007-03-01T00:00:00+01:00,0.299086,210
2007-03-02T00:00:00+01:00,0.289083,210
2007-03-03T00:00:00+01:00,0.307001,210
2007-03-04T00:00:00+01:00,0.299700,210
2007-03-05T00:00:00+01:00,0.287239,210
2007-03-06T00:00:00+01:00,0.282003,210
2007-03-07T00:00:00+01:00,0.298161,210
2007-03-08T00:00:00+01:00,0.655337,210
2007-03-09T00:00:00+01:00,0.551456,210
2007-03-10T00:00:00+01:00,0.457294,210
2007-03-11T00:00:00+01:00,0.430527,210
2007-03-12T00:00:00+01:00,0.409200,210
2007-03-13T00:00:00+01:00,0.397875,210
2007-03-14T00:00:00+01:00,0.378408,210
2007-03-15T00:00:00+01:00,0.369536,210
2007-03-16T00:00:00+01:00,0.365336,210
2007-03-17T00:00:00+01:00,0.363306,210
2007-03-18T00:00:00+01:00,0.361249,210
2007-03-19T00:00:00+01:00,0.363263,210
2007-03-20T00:00:00+01:00,0.503647,210
2007-03-21T00:00:00+01:00,0.420301,210
2007-03-22T00:00:00+01:00,0.380124,210
2007-03-23T00:00:00+01:00,0.361130,210
2007-03-24T00:00:00+01:00,0.364231,210
2007-03-25T00:00:00+01:00,0.350178,210
2007-03-26T00:00:00+01:00,0.358051,210
2007-03-27T00:00:00+01:00,0.358613,210
2007-03-28T00:00:00+01:00,0.429292,210
2007-03-29T00:00:00+01:00,0.389531,210
2007-03-30T00:00:00+01:00,0.366177,210
2007-03-31T00:00:00+01:00,0.369697,210
2007-04-01T00:00:00+01:00,0.421779,210
2007-04-02T00:00:00+01:00,0.421100,210
2007-04-03T00:00:00+01:00,0.413357,210
2007-04-04T00:00:00+01:00,0.400027,210
2007-04-05T00:00:00+01:00,0.432775,210
2007-04-06T00:00:00+01:00,0.419445,210
2007-04-07T00:00:00+01:00,0.401711,210
2007-04-08T00:00:00+01:00,0.408269,210
2007-04-09T00:00:00+01:00,0.437924,210
2007-04-10T00:00:00+01:00,0.435283,210
2007-04-11T00:00:00+01:00,0.451236,210
2007-04-12T00:00:00+01:00,0.483235,210
2007-04-13T00:00:00+01:00,0.514053,210
2007-04-14T00:00:00+01:00,0.552438,210
2007-04-15T00:00:00+01:00,0.586482,210
2007-04-16T00:00:00+01:00,0.612342,210
2007-04-17T00:00:00+01:00,0.649658,210
2007-04-18T00:00:00+01:00,0.655189,210
2007-04-19T00:00:00+01:00,0.645066,210
2007-04-20T00:00:00+01:00,0.607624,210
2007-04-21T00:00:00+01:00,0.578968,210
2007-04-22T00:00:00+01:00,0.550485,210
2007-04-23T00:00:00+01:00,0.545902,210
2007-04-24T00:00:00+01:00,0.513606,210
2007-04-25T00:00:00+01:00,0.508074,210
2007-04-26T00:00:00+01:00,0.487496,210
2007-04-27T00:00:00+01:00,0.481956,210
2007-04-28T00:00:00+01:00,0.461299,210
2007-04-29T00:00:00+01:00,0.432686,210
2007-04-30T00:00:00+01:00,0.429101,210
2007-05-01T00:00:00+01:00,0.413463,210
2007-05-02T00:00:00+01:00,0.487660,210
2007-05-03T00:00:00+01:00,0.864303,210
2007-05-04T00:00:00+01:00,0.892105,210
2007-05-05T00:00:00+01:00,0.875119,210
2007-05-06T00:00:00+01:00,0.901543,210
2007-05-07T00:00:00+01:00,0.799972,210
2007-05-08T00:00:00+01:00,0.710787,210
2007-05-09T00:00:00+01:00,0.643451,210
2007-05-10T00:00:00+01:00,0.588935,210
2007-05-11T00:00:00+01:00,0.552317,210
2007-05-12T00:00:00+01:00,0.522301,210
2007-05-13T00:00:00+01:00,0.504295,210
2007-05-14T00:00:00+01:00,0.476697,210
2007-05-15T00:00:00+01:00,0.461470,210
2007-05-16T00:00:00+01:00,0.483024,210
2007-05-17T00:00:00+01:00,0.426455,210
2007-05-18T00:00:00+01:00,0.393455,210
2007-05-19T00:00:00+01:00,0.373877,210
2007-05-20T00:00:00+01:00,0.352921,210
2007-05-21T00:00:00+01:00,0.338043,210
2007-05-22T00:00:00+01:00,0.322940,210
2007-05-23T00:00:00+01:00,0.302833,210
2007-05-24T00:00:00+01:00,0.293728,210
2007-05-25T00:00:00+01:00,0.351634,210
2007-05-26T00:00:00+01:00,0.356053,210
2007-05-27T00:00:00+01:00,0.459383,210
2007-05-28T00:00:00+01:00,0.727997,210
2007-05-29T00:00:00+01:00,2.336619,210
2007-05-30T00:00:00+01:00,1.789938,210
2007-05-31T00:00:00+01:00,1.237188,210
2007-06-01T00:00:00+01:00,1.088831,210
2007-06-02T00:00:00+01:00,2.542888,210
2007-06-03T00:00:00+01:00,2.156410,210
2007-06-04T00:00:00+01:00,1.737759,210
2007-06-05T00:00:00+01:00,1.630718,210
2007-06-06T00:00:00+01:00,1.491536,210
2007-06-07T00:00:00+01:00,1.495163,210
2007-06-08T00:00:00+01:00,1.478276,210
2007-06-09T00:00:00+01:00,1.392670,210
2007-06-10T00:00:00+01:00,1.304963,210
2007-06-11T00:00:00+01:00,1.277413,210
2007-06-12T00:00:00+01:00,1.347546,210
2007-06-13T00:00:00+01:00,1.190058,210
2007-06-14T00:00:00+01:00,1.153654,210
2007-06-15T00:00:00+01:00,1.225891,210
2007-06-16T00:00:00+01:00,2.878431,210
2007-06-17T00:00:00+01:00,2.971281,210
2007-06-18T00:00:00+01:00,2.477835,210
2007-06-19T00:00:00+01:00,2.572340,210
2007-06-20T00:00:00+01:00,2.154001,210
2007-06-21T00:00:00+01:00,1.857957,210
2007-06-22T00:00:00+01:00,2.781304,210
2007-06-23T00:00:00+01:00,2.641624,210
2007-06-24T00:00:00+01:00,2.582850,210
2007-06-25T00:00:00+01:00,2.201405,210
2007-06-26T00:00:00+01:00,1.947277,210
2007-06-27T00:00:00+01:00,1.663237,210
2007-06-28T00:00:00+01:00,1.424971,210
2007-06-29T00:00:00+01:00,1.259223,210
2007-06-30T00:00:00+01:00,1.133658,210
2007-07-01T00:00:00+01:00,1.006169,210
2007-07-02T00:00:00+01:00,1.041381,210
2007-07-03T00:00:00+01:00,1.778563,210
2007-07-04T00:00:00+01:00,1.406542,210
2007-07-05T00:00:00+01:00,1.953903,210
2007-07-06T00:00:00+01:00,1.492368,210
2007-07-07T00:00:00+01:00,1.315581,210
2007-07-08T00:00:00+01:00,1.181017,210
2007-07-09T00:00:00+01:00,1.126569,210
2007-07-10T00:00:00+01:00,1.438426,210
2007-07-11T00:00:00+01:00,1.093175,210
2007-07-12T00:00:00+01:00,0.961639,210
2007-07-13T00:00:00+01:00,0.896957,210
2007-07-14T00:00:00+01:00,0.819988,210
2007-07-15T00:00:00+01:00,0.764440,210
2007-07-16T00:00:00+01:00,0.690592,210
