time,data,quality,obs_index,use
2004-02-29,2.3582153284671628,210,,
2004-03-31,5.771070137382512,210,,
2004-04-30,8.8365264847512,210,,
2004-05-31,13.23826983415509,210,,
2004-06-30,19.36872133425994,210,,
2004-07-31,20.34639953202691,210,,
2004-08-31,18.516472433886193,210,,
2004-09-30,16.419800833719325,210,,
2004-10-31,11.394575216450209,210,,
2004-11-30,5.420917091245971,210,,
2004-12-31,1.77236889287315,210,,
2005-01-31,0.9701613626176614,210,,
2005-02-28,1.3948337468982621,210,,
2005-03-31,7.103533543230829,210,,
2005-04-30,10.607649374710494,210,,
2005-05-31,15.381954280591653,210,,
2005-06-30,19.21981537742461,210,,
2005-07-31,20.201674137158257,210,,
2005-08-31,18.042105025918392,210,,
2005-09-30,16.20712530712536,210,,
2005-10-31,10.172220711534074,210,,
2005-11-30,4.6452802223251535,210,,
2005-12-31,-0.6882044384667112,210,,
2006-01-31,-0.09917713004484441,210,,
2006-02-28,0.8469684941701794,210,,
2006-03-31,4.5406816143497695,210,,
2006-04-30,11.466248263084735,210,,
2006-05-31,14.802687135813526,210,,
2006-06-30,19.439038906901356,210,,
2006-07-31,22.48991483639622,210,,
2006-08-31,17.76336620349618,210,,
2006-09-30,16.806639647985143,210,,
2006-10-31,12.191819235225953,210,,
2006-11-30,7.08023370233703,210,,
2006-12-31,2.4002532496638325,210,,
2007-01-31,4.309379202151508,210,,
2007-02-28,5.524007453416137,210,,
2007-03-31,8.230726131779486,210,,
2007-04-30,14.86402964335342,210,,
2007-05-31,15.69374714973397,210,,
2007-06-30,17.576276645041716,210,,
2007-07-31,19.734925975773887,210,,
2007-08-31,17.96011006289305,210,,
2007-09-30,14.67899722093563,210,,
2007-10-31,11.208088301210235,210,,
2007-11-30,5.425486336266814,210,,
2007-12-31,1.858321380546836,210,,
2008-01-31,1.9972700697099173,210,,
2008-02-29,3.3001724964063177,210,,
2008-03-31,7.089041311180969,210,,
2008-04-30,9.633369615562748,210,,
2008-05-31,14.327590766472483,210,,
2008-06-30,18.19676933765631,210,,
2008-07-31,19.304424025100893,210,,
2008-08-31,19.069872225958292,210,,
2008-09-30,13.939844619666045,210,,
2008-10-31,11.040085182694444,210,,
2008-11-30,5.142809170912482,210,,
2008-12-31,1.4495069475571503,210,,
2009-01-31,0.01539444195428124,210,,
2009-02-28,2.1041166253101733,210,,
2009-03-31,7.093942178395356,210,,
2009-04-30,10.884346919870323,210,,
2009-05-31,16.188511878081574,210,,
2009-06-30,18.45855720240853,210,,
2009-07-31,19.819493500672362,210,,
2009-08-31,20.348186911698775,210,,
2009-09-30,16.147165354330692,210,,
2009-10-31,10.484408337068587,210,,
2009-11-30,6.036185734136187,210,,
2009-12-31,0.7005737337516801,210,,
2010-01-31,-0.7203541012998651,210,,
2010-02-28,1.6656079404466535,210,,
2010-03-31,5.933014343343783,210,,
2010-04-30,10.870067160722547,210,,
2010-05-31,13.294580905423587,210,,
2010-06-30,18.400873089393215,210,,
2010-07-31,22.221694307485432,210,,
2010-08-31,18.81633707865169,210,,
2010-09-30,14.795481704492818,210,,
2010-10-31,9.332424921559852,210,,
